epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall
0,0.42108264565467834,0.2722257673740387,0.5789172053337097,1e-05,0.6025674939155579,0.42968812584877014,0.3201684355735779,0.19182583689689636,0.6737989783287048,0.0,0.0
1,0.6635344624519348,0.5011845231056213,0.336465448141098,1e-05,0.741804301738739,0.8687579035758972,0.32001373171806335,0.19164051115512848,0.6758663654327393,0.06520603597164154,0.0021763292606920004
2,0.8030398488044739,0.6738242506980896,0.19696000218391418,1e-05,0.9231705665588379,0.926207423210144,0.31202223896980286,0.18519487977027893,0.6840522289276123,0.007892093621194363,0.0001278825948247686
3,0.8573848605155945,0.7531425356864929,0.14261510968208313,1e-05,0.9404811263084412,0.9545928835868835,0.2737576961517334,0.15939974784851074,0.720363199710846,0.014343823306262493,7.789212395437062e-05
4,0.8871031403541565,0.7981613874435425,0.11289696395397186,1e-05,0.9508150815963745,0.9622246026992798,0.21003349125385284,0.11764167249202728,0.7916626334190369,0.0,0.0
5,0.903169572353363,0.8247019052505493,0.09683065116405487,1e-05,0.9590809345245361,0.9645236134529114,0.1472506821155548,0.07955777645111084,0.8519468307495117,0.0,0.0
6,0.9132038354873657,0.8411082625389099,0.08679623156785965,1e-06,0.9667391777038574,0.9682738780975342,0.100400909781456,0.0528751015663147,0.8996197581291199,0.0,0.0
7,0.914710521697998,0.8440259099006653,0.08528958261013031,1e-06,0.967678964138031,0.9703987836837769,0.0786394327878952,0.04093863442540169,0.9210551977157593,0.6988047957420349,0.0010195729555562139
8,0.9201569557189941,0.8526758551597595,0.07984302192926407,1e-06,0.9680997729301453,0.9743687510490417,0.15070238709449768,0.0841858983039856,0.8428168892860413,0.9985648989677429,0.05662640929222107
9,0.9170261025428772,0.8477565050125122,0.08297405391931534,1e-06,0.9690449237823486,0.9714534282684326,0.46307310461997986,0.31235411763191223,0.5515700578689575,0.9879526495933533,0.2957366406917572
